"3 BHK Semifurnished Flat in Kadavanthra, 1555 sqft","3 BHK semifurnished flat 1555 sqft with all facilities in Kadavanthara. Good road access. 3/ 16 floors. Branded builder, 10 plus years. Servent bathroom available  Price: 86 Lakhs  700/7699",Kochi,Kadavanthra,3 Bds , 3 Ba , 1555 ft2,"₹ 86,00,000"
3 bhk apartment for sale in Asset luminaire Kadavanthra,"Property for sale in Kadavanthra, Kochi. This project, that is, Asset Luminaire is a well designed project by Asset Homes Pvt Ltd. It is offering Ready to Move units. If you are looking at Apartment, you should check out Asset Luminaire. Available configurations include 2 BHK, 3 BHK",Kochi,Kadavanthra,3 Bds , 3 Ba , 1750 ft2,"₹ 1,45,00,000"
Noel earth song brand new flat kadavanthara 3 bhk,1800 sqft posh flat noel earth song kadavanthara.Brokers please excuse . For more details contact .,Kochi,Kadavanthara,3 Bds , 3 Ba , 1800 ft2,"₹ 1,70,00,000"
asset luminare 1800 sqft brand new 3 bhk flat for sale at kadavanthara,asset luminare 1800 sqft brand new 3 bhk flat for sale at kadavanthara. Brokers please excuse . For more details contact .,Kochi,Kadavanthra,3 Bds , 4 Ba , 1800 ft2,"₹ 1,45,00,000"
sfs beverly park kadavanthara 2200 sqft 3 bhk flat for sale.,2200 sqft flat sfs beverly park kadavanthara .Brokers please excuse . For more details contact .,Kochi,Kadavanthara,3 Bds , 4 Ba , 2200 ft2,"₹ 2,25,00,000"
M drive 3bhk flat for rent,"M drive prasanna vihar , fully furnished 3 bhk flat, for rent , road facing flat on 4th floor",Kochi,Marine Drive,3 Bds , 3 Ba , 1700 ft2,"₹ 30,000"
2100 sqft 3 bhk brand new flat at panampilly nagar,2100 sqft 3 bhk brand new flat at panampilly nagar .Brokers please excuse . For more details contact .,Kochi,Panampilly Nagar,3 Bds , 4+ Ba , 2100 ft2,"₹ 1,90,00,000"
abad 2 bhk posh falt for sale at panampilly nagar,abad 2 bhk posh falt for sale at panampilly nagar. Brokers please excuse . For more details contact .,Kochi,Panampilly Nagar,2 Bds , 2 Ba , 1100 ft2,"₹ 88,00,000"
2100 SQFT 3 BHK FLAT FOR SALE AT KADAVANTHRA,"2100 sqft 3BHK brand new flat for sale at Kalyan Marvella kadavantra, kochi and is a well-planned project. Kalyan Marvella offers a contemporary lifestyle to its residents and is the perfect place to own your dream home.  For more details contact. Brokers please excuse.",Kochi,Kadavanthra,3 Bds , 3 Ba , 2100 ft2,"₹ 1,50,00,000"
House For Sale In Heart Of Fortkochi,•LOCATED IN A PRIME AREA OF FORTKOCHI (nalliparambu) •LAND CONSISTS OF 3 cents •one of few properties available in this area •Bus stop and other infrastructures in walking distance  •Loan assistance Available,Kochi,Fort Kochi,2 Bds , 2 Ba , 1000 ft2,"₹ 80,00,000"
"Urgent- Newly built 2 BHK flat for sale in panampilly nagar, kochi","Available for sale newly built 2 BHK flat in Panampily Nagar, kochi. Unfurnished , comfortably positioned on the 5th floor of a 13-storey building. This flat of 951 sqft super area is meticulously designed making the optimum use of the available space and is perfect for a small/medium family. All amenities included.",Kochi,Panampilly Nagar,2 Bds , 2 Ba , 951 ft2,"₹ 59,00,000"
4 BHK House in Panampilly Nagar,3200 SqFt 7.75 cent approximately,Kochi,Panampilly Nagar,4 Bds , 4+ Ba , 3200 ft2,"₹ 3,30,00,000"
"FLAT FOR SALE AT KOCHI,",FLAT FOR SALE AT KOCHI,Kochi,Vypin,2 Bds , 2 Ba , 871 ft2,"₹ 42,99,999"
BRAND NEW APARTMENT FOR SALE.,BRAND NEW APARTMENT FOR SALE.                               K-RERA/PRJ/215/2020,Kochi,Vypin,2 Bds , 2 Ba , 871 ft2,"₹ 41,90,000"
House for sale in Panampilly Nagar,Located at the middle of Cross Road. 30+ years old. 7+ cent Corner plot,Kochi,Panampilly Nagar,3 Bds , 2 Ba , 1500 ft2,"₹ 2,25,00,000"
2 house sale,2 House urgent sale in thoppumpady manasherri price negotiable,Kochi,Mundamveli,2 Bds , 1 Ba , 1200 ft2,"₹ 40,00,000"
House for sale at south moolamkuzhy.,"House in 2.081 cents with 2 floors is available for sale.. Ground floor has 1 bedroom,common  bathroom,hall,kitchen and work area. First floor has 2 bedrooms  ,hall. Roof topped terrace.peaceful residential area with  all facilities  available  near by. Brokeres please excuse.",Kochi,Thoppumpady,3 Bds , 3 Ba , 0 ft2,"₹ 48,00,000"
"Residential House For Sale at Indira Nagar,Kadavanthra","Residential House For Sale at Indira Nagar,Kadavanthra  Another beautiful house for sale, that needs absolutely nothing, simply walk in and take your shoes off, and enjoy life at its best.  12 cents with a beautiful house (Luxuary), 2 storey with 3 bed Rooms 4000 sq ft and Garden etc... Close and convenient to all.  The price is not fixed. This is a nice and private location, that resides in a very quiet and friendly neighbourhood.  Don’t be shy, if you have any questions please contact Me, as I would love to hear from you.  We are the Largest and Only Direct Real estate brokers in the Panampilly Nagar based.  SERIOUS INQUIRIES ONLY PLEASE and BE PROUD WITH US !!!  That's All!  PANAMPILLY REGGI",Kochi,Kadavanthara,3 Bds , 3 Ba , 4000 ft2,"₹ 1,23,45,678"
Flats in kochi,"Apartment For sale Near High Court, K-RERA/PRJ/215/2020",Kochi,Vypin,2 Bds , 2 Ba , 873 ft2,"₹ 41,50,000"
4 BHK APARTMENT FOR SALE AT SKYLINE TOPAZ,"Skyline Topaz is one of the popular residential projects that is located in Kadavanthra, Kochi. Developed by Skyline Builders",Kochi,Kadavanthra,4 Bds , 4 Ba , 3357 ft2,"₹ 2,35,00,000"
Two Bedroom Room Flat For Sale.,Two Bedroom Room Flat For Sale.,Kochi,Vypin,2 Bds , 2 Ba , 871 ft2,"₹ 40,95,000"
Vyttila Toc -H school near 10cent 3800sqft fully furnished house,Vyttila Toc - H school near 10cent 3800sqft 4bhk fully furnished posh residential house for sale prime location metro station just 300metre walkable distance only 3.75crore urgent sale 9️⃣4️⃣9️⃣6️⃣9️⃣3️⃣8️⃣1️⃣7️⃣8️⃣,Kochi,Kadavanthra,4 Bds , 4 Ba , 3800 ft2,"₹ 3,75,00,000"
"3 BHK  Semifurnished Posh Flat in Kadavanthara , 1555sqft","1555 sqft, 3 BHK  Semifurnished posh flat in Kadavanthara with all modern facilities. 10 + years. 8/ 16 floors. Covered car parking.  Price: 79 Lakhs  700/7888",Kochi,Kadavanthra,3 Bds , 3 Ba , 1555 ft2,"₹ 79,00,000"
Flat for sale in Kadavanthara.,"Apartment located by 10 minutes walking distance from Elamkulam metro Station. Accessible to many amenities such as South Railway Station, Bus depot, Metro Stations all within the distance of 10 minutes.  Three bed room flat converted to two bed room and partially furnished with a total of 912 square feet area. Car parking owned.  Both bed rooms with attached full bathrooms.   Flat facilities:  * swimming pool * health club * Elevator * children playing area * in-house bio degradable waste disposals  * 24 x 7 security  * Rain water harvesting system + corporation water.  Advantages: *Never affected from past several  years flood. * Owner occupied and never have rented out. * All room are protected with mosquito net. * Elevator right next to the flat. * well maintained apartment/Flat. * Well managed flat owners association.",Kochi,Kadavanthra,3 Bds , 2 Ba , 682020 ft2,"₹ 46,00,000"
3.400 cent property for sale @ Palluruthy.,"3.400 cent House for sale @ Palluruthy,  Total square feat 1480,Buildup area 1334, Only 5 minits drive to Thoppupadi BOT bridge, House in a residential Area with Residents Association, Interest Buyers Please Contact me.This property is posted by it self.",Kochi,Palluruthy,4+ Bds , 4 Ba , 1480 ft2,"₹ 90,00,000"
"House for sale, 2 bhk , 1 bathroom inside &  1outside  . 2 wheel only","2bhk House , 2 wheeler access only, Palluruthy MLA Road Palluruthy, 400 mtrs from mainroad... Suitable for who is looking for a Land for new construction... 3 cent  10 lakhs thannal 13.5 L loan niruthi tharam ... Monthly emi, 11600",Kochi,Palluruthy,2 Bds , 2 Ba , 650 ft2,"₹ 23,50,000"
Homestay for sale,"Homestay for sale, if any one interested to buy contact me",Kochi,Fort Kochi,4+ Bds , 4 Ba , 1600 ft2,"₹ 98,00,000"
5 CENT PLOT WITH 3BHK HOUSE WITH ATTACHED BATHROOM AND CAR PARKING,3 BHK House with 1 attached bathroom 1 common bathroom and 1 external bathroom.Ample space for car parking.,Kochi,Edakochi,3 Bds , 3 Ba , 1065 ft2,"₹ 70,00,000"
House for sale,Randu nila veedu 1 cent at edakochi 2 wheeler access 30 meter to main road(Tipper access) 2 km to Kannagattu brige and 2 km to aroor,Kochi,Edakochi,3 Bds , 2 Ba , 400 ft2,"₹ 15,00,000"
"3 BHK Semifurnished Flat in Kadavanthra, 1550 sqft","1550sqft ,3 BHK semifurnished flat with all facilities in Kadavanthara. Good road access. 6/15 floors. Branded builder, 10 plus years. 300meters from Metro station  Price:90 Lakhs  700/7884",Kochi,Kadavanthara,3 Bds , 3 Ba , 1550 ft2,"₹ 90,00,000"
close proximity to all essential requirements.,Fully furnished villa by premium builder having a common park and security round the clock. The villa has undergone major renovation recently and has wooden flooring and a modular kitchen. It has two bedrooms along with an additional study. The same is also available for rent.,Kochi,Kadavanthara,3 Bds , 2 Ba , 1900 ft2,"₹ 1,25,00,000"
4 BHK BRAND NEW FLAT FOR SALE AT PANAMPILLY NAGAR,4 BHK BRAND NEW FLAT FOR SALE AT PANAMPILLY NAGAR. FOR MORE DETAILS CONTACT. BROKERS PLEASE EXCUSE,Kochi,Panampilly Nagar,4 Bds , 4+ Ba , 2650 ft2,"₹ 2,20,00,000"
Designer Garden Villas,"New premium 2600 sqft villa in  8 cents of land with vast garden in front as common area near infopark Kakkanad ,Kochi .",Kochi,Kacheripady,3 Bds , 4+ Ba , 2600 ft2,"₹ 1,85,00,000"
"tata tritvam in marine drive, 3 bedroom flat for sale","Conceived and developed by tata realty and infrastructure ltd. (Tril), Tritvam is a waterfront luxury residential project in kochi built on 8.44 acres of land. A 100% subsidiary of tata sons, Tril has a successful track record in implementing various infrastructural projects, And is fast making its presence felt in real estate development, Creating luxury life spaces at the most sought after destinations in india. Ideally located in marine drive, This new project in kochi brings luxurious urban comforts to this scenic location; Staying true to its name which signifies the divine confluence of the three life elements  earth, Water and sky. Nestled between the arabian sea on one side and the verdant green views of the tropical mangalavanam bird sanctuary on the other, Tritvam lets you feast on the best that god own country kerala has to offer.With internationally renowned architect woods bagot of australia, Construction partner leighton welspun contractors pvt. Ltd., And globally acclaimed landscape designer made wijaya, Tritvam promises the most exquisite and international living experience. Six high-Rise towers comprising premium 3 & 4 bhk apartments in kochi with large living spaces and balconies that offer magnificent views of the panoramic surroundings  make tritvam undoubtedly one of the most desired upcoming property in kochi. Residential property in cochin with a global lifestyle .This new residential property in cochin introduces a global lifestyle with state-Of-The-Art amenities such as the finest infinity pool in kochi overlooking the arabian sea, A splendid 15,000 sq. Ft. Clubhouse, State-Of-The-Art recreational facilities, And innovative design that makes space for over 50% open areas, Providing the perfect ecosystem for living amidst a community of like-Minded individuals. Tril residential project in new cochin has been awarded a 7 star rating by the world most prestigious credit rating agency  care.Brokers please excuse",Kochi,Marine Drive,3 Bds , 3 Ba , 2188 ft2,"₹ 1,85,00,000"
For Sale 1200sqft 3BHK +2T Unfurnished Apartment in Panampilly nagar,For Sale 1200sqft 3BHK +2T Unfurnished Apartment in Panampilly nagar.  Property ID - 812  Amenities includes : 1 Covered car Parking. Expecting Rate:68lakh,Kochi,Panampilly Nagar,3 Bds , 2 Ba , 1200 ft2,"₹ 68,00,000"
For Sale 1335sqft 3BHK +3T Unfurnished Apartment in Panampillynagar,For Sale 1335sqft 3BHK +3T Unfurnished Apartment in Panampilly nagar.   Property ID - 811  Expecting Sale Price - 75 Lakhs,Kochi,Panampilly Nagar,3 Bds , 3 Ba , 1335 ft2,"₹ 75,00,000"
3824sqft    4BHK +study room luxury flat for sale at Vyttila.,"VP NO 3231:      3824sqft    4BHK +study room luxury flat for sale at Vyttila.3 lift ,2 car parking,play area,pool,generator back up and all aminities available.Price 3.25 Cr. Interested buyers contact Vinhar properties. Loan facility available for major leading banks.",Kochi,Warriyam Road,4 Bds , 4 Ba , 3824 ft2,"₹ 3,25,00,000"
FLAT FOR SALE,1 BHK flat very near to KSRTC Bus depot and Ernakulam south railway station.,Kochi,Kadavanthra,1 Bds , 1 Ba , 550 ft2,"₹ 18,00,000"
"2188 sq.ft 3 BHK water front view,  Apartments Marine drive,Ernakulam","2188 sq.ft 3 BHK water front view,  Apartments Marine drive,  Ernakulam.  Kochi. Kerala  Service Description:  Enjoy spectacular views of the Arabian sea from your high-rise residence, and let your senses soak in the glorious sunsets every day! Surround yourself in the serenade of exotic bird calls from the Mangalvanam bird sanctuary that’s adjacent to your home, and luxuriate in the spacious green environs of the property.  Trivia will have luxurious and spacious 3 and 4 BHK apartments spread across five towers and a signature Iconic tower. The property will be an exclusive gated community with elaborate electronic and personal security systems. A fully-featured clubhouse with a gymnasium, squash and tennis courts, facilities for table tennis, multiple swimming pools, banquet area, and guest rooms elevates your leisure and lifestyle stunning Infinity pool, senior citizen corners, an amphitheatre, a jogging track and a yoga court are some of the other unique features of this development. Tritvam located in close proximity to the city’s best restaurants, shopping malls, hospitals and schools and it’s just a short 20 minute driver away from the Kochi airport  Price Starting from 2.10 Cr  Kerala Real Estate Regulatory Authority Registered  For More videos Visit my You Tube channel  Prince Real Estate Koch i  Copy and paste on YouTube. Watch paly lists",Kochi,Marine Drive,3 Bds , 4 Ba , 2188 ft2,"₹ 1,95,00,000"
4 BHK APARTMENT FOR SALE MARINEDRIVE,"3 BHK & 4 BHK Luxury Apartments in Marine drive, Kochi with high-class amenities.",Kochi,Marine Drive,4 Bds , 4 Ba , 2781 ft2,"₹ 3,10,00,000"
URGENT SALE 3BHK APARTMENT TATA TRITVAM,"The tree-lined, scenic Marine Drive is probably Kochi's most desirable residential address. And now, it is the setting for Tritvam, a world-class residency that is destined to set the benchmark for luxury living in Kochi. Tritvam embodies the fusion of the finest that nature and good planning can offer – panoramic views of the Arabian Sea and the Bird Sanctuary, along with the luxuries and attractions of a contemporary urban lifestyle. What sets Tritvam apart is its unique and forward-thinking design. Conceived and executed by Australian firm Woods Bagot, who have designed the Burj Dubai, Tritvam encompasses beautifully crafted towers that offer seamless connectivity every part of Kochi. The towers are thoughtfully spaced out, so that each tower commands absolute privacy and superlative views.",Kochi,Marine Drive,3 Bds , 3 Ba , 2217 ft2,"₹ 1,99,00,000"
SKYLINE ZIRCON 3 BHK APARTMENT FOR SALE,"Skyline Zircon, a new residential apartments/flats available for sale in Panampilly Nagar Kochi.",Kochi,Panampilly Nagar,3 Bds , 3 Ba , 1670 ft2,"₹ 1,15,00,000"
Ernakulam thevara 4bhk luxury fullyfurnished flat 3.50cr 14floor,Ernakulam thevara 4bhk luxury fullyfurnished flat 3.50cr 14floor water front Dona9️⃣8️⃣9️⃣5️⃣1️⃣5️⃣6️⃣2️⃣1️⃣9️⃣✅,Kochi,Thevara,4 Bds , 4 Ba , 3225 ft2,"₹ 3,50,00,000"
Ernakulam marine drive 3bhk 1900sqt flat furnished 1.39cr new urgent,Ernakulam marine drive 3bhk 1900sqt flat furnished 1.39cr new urgent sale Dona9️⃣8️⃣9️⃣5️⃣1️⃣5️⃣6️⃣2️⃣1️⃣9️⃣ 2balcony super vew,Kochi,Marine Drive,3 Bds , 3 Ba , 1900 ft2,"₹ 2,25,00,000"
Fully furnished 1 BHK AC Apartment near Thevara Reliance Mart/Mosque,1 BHK new  AC furnished Apartment near Thevara Road with Automatic wash/Fridge/wifi/AC/smart TV/modular kitchen/hot water etc  For single occupancy or with Spouse,Kochi,Thevara,1 Bds , 1 Ba , 500 ft2,"₹ 19,000"
3BHK Apartment - Near Panampilly Nagar,"3BHK Apartment - Kochukadavanthra Location : KP Vallon Road, Kochukadavanthra. Distance to Panampilly Nagar - 450 mtrs Distance to Manorama Junction - 2.5 Kms Distance to Kadavanthra Junction -2 Kms Distnce to MG Road - 1.8 Kms Bedrooms : 3BHK Bathrooms : 3 Balconies :2 Area - 1496 Sqft Floor - 1st out of 4 Floors Furnishing - Not Furnished. Covered Carpark : 1  Age of Building : 11 Year Society Registration : Yes Security : Yes  Genuine buyers Pls contact us .",Kochi,Kadavanthra,3 Bds , 3 Ba , 1500 ft2,"₹ 75,00,000"
"3 BEDROOM FLAT - VYTTILA JANATHA, ELAMKULAM",This project is  Just 100 mtrs from Subhash Chandrabose Road and 550 mtrs Sahodaran Ayyappan Road.   > 1.5 Kms from Vyttila Junction.  > 1.9 Kms from Kadavanthra Junction.  > 1.2 Kms to Toc H School.  > 850 Mtrs from Elamkulam Metro station.  > One Automatic Bed Lift  > 24 hr Generator backup with AMF  > Bio-metric access control on main entry >   CCTV Surveillance on gates and main entry  > Retriculated gas supply system  > Provison for cable TV / DTH  > Provison for intercom  > Reserved car parking  If you are interested please contact us for further details and apartment visit.  Agents Pls Excuse.,Kochi,Kadavanthra,3 Bds , 3 Ba , 1265 ft2,"₹ 79,00,000"
"3 Bedrooms Resale Flat - Kochukadavanthra, Kochi","3BHK Apartment - Kochukadavanthra Location : KP Vallon Road, Kochukadavanthra. Distance to Panampilly Nagar - 450 mtrs Distance to Manorama Junction - 2.5 Kms Distance to Kadavanthra Junction -2 Kms Distnce to MG Road - 1.8 Kms Bedrooms : 3BHK Bathrooms : 3 Balconies :2 Area - 1496 Sqft Floor - 1st out of 4 Floors Furnishing - Not Furnished. Covered Carpark : 1  Age of Building : 11 Year Society Registration : Yes Security : Yes  Genuine buyers pls contact us for site visit",Kochi,MG Road,3 Bds , 3 Ba , 1496 ft2,"₹ 75,00,000"
Furnished 3 BHK Apartment Near Vyttila Jananatha.,"Ready to occupy 3 BHK used flat for sale at Paradise Road, Vyttila.  Genuine buyers  Pls Contact for details and apartment visit.  Agents Pls Excuse",Kochi,Kadavanthra,3 Bds , 3 Ba , 1500 ft2,"₹ 67,00,000"
3BHK Budget Apartment - Near Kaloor - Kadavanthra Road,"This project is situated at famous residential area near to Kaloor - Kadavanthra Road.  Ready to occupy new unused flat with budget pricing.  Easy to access location from all city areas  Power backup, Lift and security  Covered Carpark under the building  KSEB and KWA connections available  If you are a genuine buyer and interested in this project please contact us for further details.  Agents Please Excuse",Kochi,MG Road,3 Bds , 2 Ba , 1232 ft2,"₹ 55,00,000"
One storeyed house &4 cents land with 2 wheeler access.No brokers,House & land .Negotiable,Kochi,Perumbadappu,4 Bds , 2 Ba , 1100 ft2,"₹ 40,00,000"
6CENT PLOT WITH 7BHK HOUSE FOR SALE IN FRONT OF NH,"HOUSE CONSTRUCTED IN 6 CENT PLOT FOR SALE IN PALLURUTHY IN FRONT OF NATIONAL HIGHWAY .JUST 2OO METERS DISTANCE FROM THOPPUMPADY ARROR  NATIONAL HIGHWAY .TIPPER ACCESS PLOT WITH HOUSE CONSITING OF 7 BEDROOMS. 3 BEDROOMS ON THE FIRST FLOOR.  SITOUT ,LIVING ROOM, HALL WITH TWO ATTACHED BATHROOMS AND ONE COMMON BATHROOM. 2ND FLOOR CONSISTS OF SITOUT HALL,4 BEDROOMS WITH 2 ATTACHED BATHROOMS AND ONE COMMON BATHROOM,1ST FLOOR HAS A BIG KITCHEN WITH WORK AREA ,2ND FLOOR HAS A VERY BIG KITCHEN .HOUSE IS BUILD WITH QUALITY MATERIALS BUILD QUALITY AND STRENGTH OF THE HOUSE IS EXCELLENT  BUILD ACCORDING TO VASTHU .WELL WATER IS ALSO AVAILABLE IN THE PLOT . HOUSE HAS 2 STAIRCASE ONE FROM INSIDE AND 1 FROM OUTSIDE INDIVIDUAL ELECTRICITY CONNECTION SO CAN BE GIVEN FOR RENT ALSO WITH GOOD PROFIT NOT LESS THAN 24000 RS.THERE IS NO PENDING WORKS ONLY NEEDED TO PAINT THE HOUSE ,QUALITY WOODS USED FOR THE INTERIOR OF THE HOUSE .NEW DRESS WORK DONE FOR THE CAR PORCH WITH QUALITY SHEET AND MATERIALS .PLOT HAS ONE COCUNUT TREE WITH VERY GOOD YEILD THROUGH OUT THE YEAR NEWELY BUILD UNDERGROUND  WATER TANK OF 4000 LITRES. 5000LITRES SEPTIC TANK CAPACITY .FULL ELECTICAL WORK PLUMBING DRAINAGE ARE DONE WITH ONLY QUALITY MATERIALS.VERY CALM AND QUIET PLACE WITH GOOD AND DIGNIFIED NEIGHBOURS.ALL AMENITIES ARE VERY VERY CLOSE TO THE HOUSE EASILY ACCESSIBLE TO THOPPUMPADY FORTKOCHI MATTANCHERY AND ERNAKULAM VIA NEW BRIDGE AND ALSO TO ARROOR  .THOSE WHO ARE WHISHING TO BUY A DREAM HOUSE THIS IS A GOLDEN OPPORTUNITY.GENUINE PARTIES NEEDED TO CONTACT .TIME WASTERS PLEASE EXCUSE ,BROKERS EXCUSE .OWNER MOVING ABROAD.",Kochi,Palluruthy,4+ Bds , 4+ Ba , 3200 ft2,"₹ 1,25,00,000"
3bhk House for sale at fort kochi kunnnumpuram,3bhk house for sale at fort kochi Near Kunnnumpuram junction 3.6 cent,Kochi,Fort Kochi,3 Bds , 3 Ba , 1728 ft2,"₹ 63,00,000"
Veed vilpanak 53 lack,Veed vilpanak Eraveli jn,Kochi,Mattancherry,3 Bds , 2 Ba , 5300000 ft2,"₹ 53,00,000"
Ready to Occupy 2 Bedroom Flat - Palarivattam Vennala Road,2 Bedroom Flat - Palarivattam Vennala Road.,Kochi,MG Road,2 Bds , 3 Ba , 1218 ft2,"₹ 62,00,000"
3 Bedroom New Ready to Occupy Flat Vennala - Alimchuvadu Road,3 Bedroom New Ready to Occupy Flat Vennala - Alimchuvadu Road.,Kochi,MG Road,3 Bds , 4 Ba , 1568 ft2,"₹ 77,00,000"
3 floor house at palluruthy,"3 floor,4 bedroom ,4 bathroom, balcony,step from outside and inside",Kochi,Palluruthy,3 Bds , 4 Ba , 1800 ft2,"₹ 49,50,000"
"2BKH House, 2.72 Cents for Urgent sale near manasery society east side","2.72 cents, 2BHK , 1 bathroom attached 1 common bathroom, outside floor tiled, fully tiled floors, roof for work area & 2 wheeler parking, 10 meter two wheeler access only to home from car going pocket road, 9 year old structure, urgent sale due to financial problems. All papers clear with new approved plan & building permit so can build up 1st floor",Kochi,Mundamveli,2 Bds , 2 Ba , 900 ft2,"₹ 27,50,000"
"House for URGENT SALE at palluruthy,ernakulam.","3 Floor house,Near sri krishna Hall ,palluruthy,Ernakulam.  4 bedroom 4 bathroom Work area Top dress worked Steps from both outside and inside. 1st floor-1 bedroom 1 hall kitchen 1bathroom 2nd floor-2 bedroom 1hall 1bathroom,balcony  3rd floor-1 bedroom 1 bathroom ,1hall,balcony small work area  1 kitchen. 2.310 cent  Facing east  1800 sqfeet  No car parking  Best to give as Rent.",Kochi,Palluruthy,4 Bds , 3 Ba , 1800 ft2,"₹ 49,50,000"
Veedu vadaga pranayam velppana only call no messages,Number only in box Stalam palluruthy perumbadappu eba cochi cochin. 6,Kochi,Perumpadappu,4 Bds , 3 Ba , 1000 ft2,"₹ 8,00,000"
"Four bedroom semifurnished house for sale in Thevara . East facing,","House for sale four bedroom,three floors,2 car parking. Koonthuruthy bus route. Suitable plot to obtain commercial licence.  4 cent land Near to Sacred Hearts College and close to church,school,mosque and temple",Kochi,Thevara,4 Bds , 4 Ba , 2580 ft2,"₹ 1,40,00,000"
"Apartment for sale, fully furnished and well maintained","we had moved in to our new apartment on March 2015,planning to sell as we shifted to our new place. this is a fully furnished apartment complete with wardrobes in all 3 bedrooms, 2 air conditioned bedrooms including bed and cot in 2 of the bedrooms, kitchen cabinets with loft storage space, includes faber hood and hob with metred gas supply, electrical fittings with ceiling work fitted with premium philips led lights in dining area, rest samson led lights. fans, bulbs, tubes, heater in one bathroom, canopy structure done extra in the balcony. all 3 rooms have this spectacular view of the Arabian sea with the mesmerizing winds from the west almost at all times",Kochi,Kappalandimukku,3 Bds , 2 Ba , 1113 ft2,"₹ 67,00,000"
Hose for sale,4bkh house for sale,Kochi,Mattancherry,4 Bds , 4 Ba , 1200 ft2,"₹ 70,00,000"
Dream Home in the Heart of Kochi for sale and lease,"Double storey House with 1110sqft in 2 cents in prime Location at Kochi. 500 meter  radius nationalised Banks, School, Bus stop, Gym, Hotels, Churches, Temple Mosque, Supermarket etc.  Ready to sale asap",Kochi,Thoppumpady,3 Bds , 3 Ba , 1250 ft2,"₹ 65,00,000"
Flat for sale prime location,"Flat for sale in kadavanthra 3BHK 2 attached bathrooms plus one common bathroom 3 balcony, big unfurnished kitchen, drawing area, separate dining area Opposite Kendriya vidyalaya South railway station,  metro station, RSC stadium, hospital, market etc are very near.  one car park extra @3 lakhs. Present status. 2012 registration. First owner. Immediate SALE. Brokerage extra. Price NOT NEGOTIABLE.",Kochi,Kadavanthra,3 Bds , 3 Ba , 2100 ft2,"₹ 85,00,000"
Water front apartment near Thevera junction,"Spacious 3BHK with lake view just 200mtrs from Thevera junction. 3 balconies, wardrobes in all bedrooms & Kitchen cabinets done. Apartments has no wall sharing and is completely independent. Thoughtfully designed for abundance of natural light and fresh air. 1 covered car parking available. Apartment is on the 3rd floor.  3 storied building with 24hrs security. Both Corporation and Borewell water available. All amenities like super markets, school, college, Thevera Market, Gym are at just walkable distance from the apartment. Calm and quiet neighborhood with wide approach road.  Intrested parties can reach me at 8️⃣5️⃣9️⃣4️⃣0️⃣0️⃣1️⃣6️⃣7️⃣7️⃣",Kochi,Thevara,3 Bds , 3 Ba , 1300 ft2,"₹ 42,00,000"
2bhk Lig at Panampilly nagar,"2bhk Lig for sale. Situated in the heart of ernakulam city, next to Avenue Center hotel. All Amenities are near by such as school, railway station, Metro station, bus stop etc. Area is under the Cochin corporation limit where, it is a peacful space for living and all other household services are undertaken by panampilly nagar residents association. Buyers can renovated or can easily occupy this building. Intrested buyers please drop a message.",Kochi,Panampilly Nagar,2 Bds , 2 Ba , 650 ft2,"₹ 27,00,000"
"12 cent square plots,1200ft house,MC road, pulluvazhy, perumbavoor","12cent square plot,1200ft house, out house 200ft sale, MC road pulluvazhy, perumbavoor,200ft out house",Kochi,Kacheripady,3 Bds , 2 Ba , 1200 ft2,"₹ 75,00,000"
4000 sq ft house for sale at kakkanad,2 kms away from Bharath matha college.. 18 cent land. 2 storeyed house. Well water. 4 bedroom attached bathroom.,Kochi,Bolghatty Island,4 Bds , 4 Ba , 4000 ft2,"₹ 3,15,00,000"
"5.5 cents land, 2500 sq. Ft., 6 bedroom, 2 Floors at RK Pillai Road,","5.5 cents land, 2500 sq. Ft., 6 bedroom, 2 Floors building at RK Pillai Road, Karuvelipadi, Fort kochi",Kochi,Karuvelipady,4+ Bds , 4+ Ba , 2500 ft2,"₹ 1,20,00,000"
Office space for rent,0350 sqft for rent near bevco at Thoppumpady,Kochi,Thoppumpady,1 Bds , 2 Ba , 350 ft2,"₹ 10,000"
Plot near ponnarimangalam water metro jetty,15 cent plot with 2store building and 2bhk house. 50000rs monthly income.,Kochi,Bolghatty Island,4+ Bds , 4+ Ba , 4000 ft2,"₹ 17,00,000"
URGENT SALE BRAND NEW APARTMENT 2036SQFT,BRAND NEW APARTMENT 2036SQFT WITH ALL AMINITIES FOR SALE15000000,Kochi,Kadavanthara,3 Bds , 3 Ba , 2036 ft2,"₹ 1,50,00,000"
Home for sale 20lack,For sale 20lack palluruthy,Kochi,Palluruthy,3 Bds , 2 Ba , 800800 ft2,"₹ 20,00,000"
Rooms for rent,Bachelor only,Kochi,Thevara,1 Bds , 1 Ba , 180 ft2,"₹ 90,00,13,500"
Luxury 3bhk furnished flat for sale at Ernakulam,"Well-Furnished 3bhk flat at tata tritvam marine drive kochi (Water view - 2188 sqft). Front view arabian sea and backside bird sanctuary. Tata tritvam in marine drive, kochi by tata realty and infrastructure builders is a residential project. The project offers an apartment with the perfect combination of contemporary architecture and features to provide a comfortable living.",Kochi,Marine Drive,3 Bds , 4 Ba , 2188 ft2,"₹ 2,80,00,000"
